epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,17760.5,1.5361,1.40642,1.47129,0.60731,0.51999,0.54776,0.26056,1.78527,1.52034,1.71017,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,18107.5,1.53666,1.39681,1.47161,0.59784,0.52634,0.55081,0.26019,1.79708,1.52311,1.71953,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,18454.6,1.53002,1.38507,1.46229,0.62209,0.51946,0.54816,0.26125,1.80552,1.50683,1.7264,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,18801.1,1.52086,1.3746,1.46233,0.61598,0.52416,0.5544,0.26255,1.80209,1.50853,1.71932,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,19147.9,1.50505,1.34644,1.44402,0.60491,0.52837,0.54879,0.26143,1.80182,1.50858,1.72382,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,19494.8,1.49683,1.33702,1.44269,0.59848,0.52563,0.5454,0.2587,1.80916,1.51808,1.72369,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,19841.7,1.48547,1.33066,1.43028,0.60549,0.52757,0.55005,0.26376,1.81515,1.49763,1.73665,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,20189.2,1.47732,1.32448,1.42686,0.59561,0.54259,0.55265,0.26402,1.81375,1.48972,1.73179,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,20537.6,1.47805,1.29808,1.42175,0.6071,0.53581,0.54873,0.25927,1.81701,1.49324,1.7373,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,20885.1,1.46149,1.27895,1.41871,0.61052,0.52072,0.55297,0.26272,1.81322,1.48762,1.74239,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,21233.2,1.44776,1.2621,1.40647,0.60236,0.53277,0.54949,0.26109,1.81872,1.49164,1.74481,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
